"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
10 "Jammu & Kashmir" Kupwara 259 39 7 0 1
10 "Jammu & Kashmir" Leh 124 16 3 0 1
10 "Jammu & Kashmir" Poonch 149 32 3 0 1
10 "Jammu & Kashmir" Pulwama 104 36 3 0 1
10 "Jammu & Kashmir" Rajouri 221 37 7 0 1
10 "Jammu & Kashmir" Ramban 93 19 3 0 1
10 "Jammu & Kashmir" Reasi 112 22 2 0 1
10 "Jammu & Kashmir" Samba 90 12 3 0 1
10 "Jammu & Kashmir" Shopian 60 10 2 0 1
10 "Jammu & Kashmir" Srinagar 63 29 1 0 1
10 "Jammu & Kashmir" Udhampur 153 36 2 0 1
10 "Jammu & Kashmir" Total 2967 637 84 0 22
11 Jharkhand Bokaro 115 16 8 3 1
11 Jharkhand Chatra 93 8 6 0 1
11 Jharkhand Deoghar 180 5 7 1 1
11 Jharkhand Dhanbad 140 25 8 0 1
11 Jharkhand Dumka 248 34 11 0 1
11 Jharkhand Garhwa 117 10 7 1 1
11 Jharkhand Giridih 179 15 12 0 1
11 Jharkhand Godda 181 9 8 0 1
11 Jharkhand Gumla 243 1 11 0 1
11 Jharkhand Hazaribagh 140 13 9 1 1
11 Jharkhand Jamtara 129 15 4 0 1
11 Jharkhand Khunti 108 4 6 0 1
11 Jharkhand Kodarma 65 6 5 0 1
11 Jharkhand Latehar 97 7 7 0 1
11 Jharkhand Lohardaga 74 10 5 0 1
11 Jharkhand Pakaur 121 9 6 0 1
11 Jharkhand Palamu 171 22 8 2 1
11 Jharkhand "Pashchimi Singhbhum" 343 14 14 1 1
11 Jharkhand "Purbi Singhbhum" 243 16 9 1 1
11 Jharkhand Ramgarh 54 5 4 0 1
11 Jharkhand Ranchi 324 26 13 1 1
11 Jharkhand Sahibganj 136 10 6 1 1
11 Jharkhand Saraikela 192 10 7 1 1
11 Jharkhand Simdega 155 7 7 0 1
11 Jharkhand Total 3848 297 188 13 24
12 Karnataka Bagalkote 233 49 8 5 1
12 Karnataka "Bangalore rural" 198 48 2 4 0
12 Karnataka "Bangalore urban" 279 96 5 3 3
12 Karnataka Belgaum 620 148 16 9 1
12 Karnataka Bellary 293 73 11 6 1
12 Karnataka Bidar 277 58 8 4 1
12 Karnataka Bijapur 314 67 9 4 1
12 Karnataka Chamarajanagar 258 64 3 3 1
12 Karnataka Chikkaballapur 203 60 2 5 1
12 Karnataka Chikmagalur 368 90 5 6 1
12 Karnataka Chitradurga 342 82 11 5 1
12 Karnataka "Dakshina kannada" 430 72 8 4 2
12 Karnataka Davangere 324 101 6 5 1
12 Karnataka Dharwad 185 45 0 3 1
12 Karnataka Gadag 187 39 2 4 1
12 Karnataka Gulbarga 337 94 16 6 1
12 Karnataka Hassan 487 136 15 7 1
12 Karnataka Haveri 311 69 5 6 1
12 Karnataka Kodagu 196 29 7 2 1
12 Karnataka Kolar 266 69 2 4 1
12 Karnataka Koppal 177 49 9 3 1
12 Karnataka Mandya 410 115 10 6 1
12 Karnataka Mysore 510 147 10 6 0
12 Karnataka Raichur 213 52 6 4 1
12 Karnataka Ramanagara 249 63 4 3 1
12 Karnataka Shimoga 356 110 7 6 2
12 Karnataka Tumkur 522 147 4 9 1
12 Karnataka Udupi 323 62 6 2 1
12 Karnataka Uttarakannada 344 83 3 10 1
12 Karnataka Yadgir 169 42 6 2 1
12 Karnataka Total 9381 2359 206 146 32
13 Kerala Thiruvananthapuram 483 70 23 7 2
13 Kerala Kollam 421 58 17 8 1
13 Kerala Pathanamthitta 261 42 12 4 1
13 Kerala Alappuzha 366 59 16 6 2
13 Kerala Kottayam 333 55 20 3 0
13 Kerala Idukki 308 41 13 4 2
13 Kerala Ernakulam 410 75 23 11 1
13 Kerala Thrissur 472 79 24 6 1
13 Kerala Palakkad 504 76 19 6 1
13 Kerala Malappuram 578 84 22 6 3
13 Kerala Kozhikkode 401 64 16 7 1
13 Kerala Wayanad 182 23 9 2 1
13 Kerala Kannur 414 83 9 9 1
13 Kerala Kasargode 247 40 9 2 1
13 Kerala Total 5380 849 232 81 18
14 "Madhya Pradesh" Agar 72 5 3 0 1
14 "Madhya Pradesh" Alirajpur 195 15 5 0 1
14 "Madhya Pradesh" Anuppur 139 16 7 0 1
14 "Madhya Pradesh" Ashoknagar 97 10 4 0 1
14 "Madhya Pradesh" Balaghat 289 37 8 2 1
14 "Madhya Pradesh" Barwani 294 29 8 1 1
14 "Madhya Pradesh" Betul 264 33 10 0 1
14 "Madhya Pradesh" Bhind 189 21 5 1 1
14 "Madhya Pradesh" Bhopal 63 9 1 2 1
14 "Madhya Pradesh" Burhanpur 97 13 4 0 1
14 "Madhya Pradesh" Chhatarpur 202 37 10 0 1
14 "Madhya Pradesh" Chhindwada 313 67 12 4 1
14 "Madhya Pradesh" Damoh 179 15 6 1 1
14 "Madhya Pradesh" Datia 96 10 3 2 1
14 "Madhya Pradesh" Dewas 180 21 6 1 1
14 "Madhya Pradesh" Dhar 393 47 13 1 1
14 "Madhya Pradesh" Dindori 180 23 7 0 1
14 "Madhya Pradesh" Guna 119 15 5 1 1
14 "Madhya Pradesh" Gwalior 101 15 2 4 1
14 "Madhya Pradesh" Harda 63 6 3 0 1
14 "Madhya Pradesh" Hoshangabad 140 15 6 2 1
14 "Madhya Pradesh" Indore 92 25 4 3 1
14 "Madhya Pradesh" Jabalpur 189 22 5 3 1
14 "Madhya Pradesh" Jhabua 229 19 6 1 1
14 "Madhya Pradesh" Katni 159 18 6 1 1
14 "Madhya Pradesh" Khandwa 172 32 6 0 1
14 "Madhya Pradesh" Khargone 276 54 10 2 1
14 "Madhya Pradesh" Mandala 291 32 8 1 1
14 "Madhya Pradesh" Mandsoure 159 40 5 2 1
14 "Madhya Pradesh" Morena 201 18 6 2 1
14 "Madhya Pradesh" Narsinghpur 142 20 6 1 1
14 "Madhya Pradesh" Neemuch 104 19 3 2 1
14 "Madhya Pradesh" Panna 159 15 6 0 1
14 "Madhya Pradesh" Raisen 181 18 5 2 1
